feature,gain,fold,mean_gain
hostgal_photoz,1965,1,1928.5714285714287
mjd_diff_det,1418,1,1460.857142857143
distmod,1269,1,1304.142857142857
hostgal_photoz_certain,1267,1,1289.0
hostgal_photoz_err,717,1,829.0
mjd__mean_abs_change,690,1,709.1428571428571
flux__longest_strike_above_mean,657,1,667.5714285714286
flux__sample_entropy,485,1,501.2857142857143
flux_by_flux_ratio_sq__longest_strike_above_mean,465,1,483.85714285714283
flux_by_flux_ratio_sq__median,436,1,405.57142857142856
flux_by_flux_ratio_sq__minimum,442,1,420.42857142857144
flux_by_flux_ratio_sq_skew,406,1,396.14285714285717
flux__cid_ce__normalize_True,425,1,428.7142857142857
mjd__mean_change,368,1,382.85714285714283
flux_by_flux_ratio_sq__longest_strike_below_mean,379,1,370.0
flux_diff2,375,1,333.7142857142857
flux_by_flux_ratio_sq__sample_entropy,385,1,350.42857142857144
bottom__flux_dif3,276,1,272.7142857142857
flux_err_min,453,1,397.85714285714283
0__abs_energy_norm,432,1,368.14285714285717
5__abs_energy_norm,284,1,299.42857142857144
2__skewness,276,1,260.0
2__median,270,1,283.7142857142857
bottom__flux_diff,299,1,292.85714285714283
"0__fft_coefficient__coeff_0__attr_""abs""_norm",250,1,310.2857142857143
flux_diff_2_by_1,357,1,302.2857142857143
1__skewness,248,1,274.57142857142856
flux_skew,303,1,304.57142857142856
flux__binned_entropy__max_bins_10,277,1,283.42857142857144
flux_by_flux_ratio_sq__count_above_mean,232,1,247.28571428571428
top__flux_dif3,289,1,289.0
4__cid_ce__normalize_True,298,1,293.57142857142856
flux__autocorrelation__lag_3,270,1,292.42857142857144
flux_diff__sample_entropy,285,1,293.7142857142857
abs_energy_5_by_0,222,1,247.28571428571428
abs_energy_4_by_0,301,1,312.7142857142857
flux_by_flux_ratio_sq__cid_ce__normalize_True,319,1,295.85714285714283
2__cid_ce__normalize_True,321,1,307.85714285714283
1__abs_energy_norm,232,1,280.2857142857143
0__cid_ce__normalize_True,281,1,266.42857142857144
1__cid_ce__normalize_True,235,1,305.0
2__minimum,277,1,281.42857142857144
flux_diff__longest_strike_above_mean,262,1,269.0
0__flux_by_flux_ratio_sq_sum,263,1,286.14285714285717
flux__ratio_beyond_r_sigma__r_2,243,1,233.28571428571428
flux_by_flux_ratio_sq__binned_entropy__max_bins_10,174,1,236.14285714285714
abs_energy_3_by_1,297,1,283.85714285714283
detected_mean,262,1,280.42857142857144
4__kurtosis,266,1,236.28571428571428
flux_diff_5_by_3,192,1,196.28571428571428
1__minimum,217,1,267.0
flux_norm_fft_5_by_0,203,1,222.57142857142858
1__flux_by_flux_ratio_sq_skew,228,1,263.85714285714283
abs_energy_2_by_1,211,1,243.0
5__median,209,1,235.0
flux__time_reversal_asymmetry_statistic__lag_4,203,1,279.2857142857143
1__median,300,1,266.42857142857144
5__kurtosis,243,1,200.57142857142858
1__kurtosis,148,1,193.85714285714286
"5__fft_coefficient__coeff_1__attr_""abs""_norm",166,1,199.85714285714286
3__skewness,179,1,213.14285714285714
2__skewness_diff,190,1,227.28571428571428
flux_diff_3_by_1,213,1,184.85714285714286
flux_diff_3_by_2,197,1,181.28571428571428
3__cid_ce__normalize_True,256,1,240.28571428571428
flux_diff__binned_entropy__max_bins_10,216,1,217.28571428571428
flux_median,258,1,253.85714285714286
abs_energy_5_by_2,199,1,195.42857142857142
flux_norm_fft_5_by_2,203,1,235.28571428571428
5__abs_energy,307,1,323.57142857142856
flux_diff_5_by_2,232,1,207.0
flux_by_flux_ratio_sq__first_location_of_minimum,228,1,231.28571428571428
3__kurtosis,200,1,224.14285714285714
flux_by_flux_ratio_sq__autocorrelation__lag_3,137,1,219.14285714285714
"2__fft_coefficient__coeff_0__attr_""abs""_diff",231,1,219.85714285714286
5__cid_ce__normalize_True,264,1,252.85714285714286
2__kurtosis,111,1,200.57142857142858
abs_energy_5_by_3,194,1,192.57142857142858
"5__fft_coefficient__coeff_0__attr_""abs""_norm",208,1,212.42857142857142
2__flux_dif3,307,1,278.42857142857144
5__binned_entropy__max_bins_10,226,1,223.85714285714286
flux_by_flux_ratio_sq__count_below_mean,277,1,266.14285714285717
0__mean,184,1,209.85714285714286
flux_norm_fft_4_by_2,211,1,215.71428571428572
bottom__abs_energy_norm,230,1,177.57142857142858
4__skewness_diff,265,1,246.42857142857142
flux_diff_skew,189,1,240.85714285714286
flux_diff__longest_strike_below_mean,301,1,250.28571428571428
4__median,151,1,196.57142857142858
4__skewness,244,1,206.0
"5__fft_coefficient__coeff_0__attr_""abs""",212,1,247.42857142857142
flux_diff_4_by_3,160,1,174.14285714285714
"0__fft_coefficient__coeff_1__attr_""abs""_norm",196,1,182.57142857142858
0__time_reversal_asymmetry_statistic__lag_4_diff,165,1,190.28571428571428
flux__mean_second_derivative_central,191,1,195.71428571428572
2__binned_entropy__max_bins_10,198,1,187.14285714285714
flux_diff_3_by_0,215,1,225.14285714285714
1__flux_dif3,201,1,199.42857142857142
5__sample_entropy_norm,248,1,236.28571428571428
flux_norm_fft_2_by_0,160,1,173.85714285714286
"1__fft_coefficient__coeff_0__attr_""abs""_diff",223,1,195.14285714285714
4__median_diff,166,1,160.57142857142858
4__flux_by_flux_ratio_sq_skew,161,1,153.71428571428572
1__sample_entropy_norm,159,1,227.42857142857142
4__autocorrelation__lag_3,211,1,177.57142857142858
flux__absolute_sum_of_changes,236,1,263.57142857142856
"4__fft_coefficient__coeff_1__attr_""abs""_norm",136,1,185.42857142857142
3__median,182,1,191.85714285714286
2__mean_second_derivative_central,208,1,200.42857142857142
flux_norm_fft_4_by_0,135,1,135.57142857142858
flux_diff_4_by_2,180,1,185.28571428571428
abs_energy_5_by_4,112,1,152.0
"0__fft_coefficient__coeff_1__attr_""abs""_diff",193,1,225.71428571428572
flux_diff_1_by_0,217,1,207.85714285714286
abs_energy_3_by_2,162,1,164.42857142857142
flux_diff_5_by_1,134,1,138.14285714285714
flux_norm_fft_3_by_0,167,1,161.0
3__skewness_diff,166,1,169.28571428571428
0__maximum,230,1,214.57142857142858
abs_energy_5_by_1,146,1,117.0
flux_ratio_sq_skew,160,1,162.28571428571428
object_id_div_27,164,1,159.71428571428572
4__time_reversal_asymmetry_statistic__lag_4,144,1,199.42857142857142
5__autocorrelation__lag_3,150,1,149.0
flux__mean_abs_change,226,1,237.42857142857142
1__maximum_diff,374,1,357.7142857142857
flux__count_above_mean,138,1,160.14285714285714
"4__fft_coefficient__coeff_0__attr_""abs""_norm",201,1,203.14285714285714
flux_diff__last_location_of_minimum,181,1,148.28571428571428
3__autocorrelation__lag_3,146,1,172.71428571428572
flux_diff_5_by_4,151,1,144.0
object_id_div_22,148,1,142.28571428571428
flux_norm_fft_3_by_1,171,1,171.85714285714286
flux__longest_strike_below_mean,141,1,155.14285714285714
flux_norm_fft_4_by_3,168,1,163.85714285714286
flux_diff_4_by_1,140,1,134.57142857142858
5__flux_by_flux_ratio_sq_skew,177,1,176.28571428571428
0__skewness_diff,96,1,145.28571428571428
flux_diff__last_location_of_maximum,131,1,154.71428571428572
abs_energy_4_by_1,117,1,146.85714285714286
abs_energy_3_by_0,158,1,168.28571428571428
"5__fft_coefficient__coeff_1__attr_""abs""",226,1,231.85714285714286
"3__fft_coefficient__coeff_0__attr_""abs""_diff",194,1,218.0
"5__fft_coefficient__coeff_0__attr_""abs""_diff",141,1,198.71428571428572
flux_norm_fft_2_by_1,157,1,172.0
"5__fft_coefficient__coeff_1__attr_""abs""_diff",214,1,234.28571428571428
2__maximum,194,1,225.71428571428572
0__median,176,1,175.85714285714286
1__binned_entropy__max_bins_10_diff,230,1,170.85714285714286
2__median_diff,129,1,135.42857142857142
2__sample_entropy_norm,165,1,154.14285714285714
flux_diff__first_location_of_maximum,108,1,136.28571428571428
flux_norm_fft_5_by_1,126,1,160.0
0__mean_second_derivative_central,182,1,160.0
flux_diff__first_location_of_minimum,146,1,118.71428571428571
3__binned_entropy__max_bins_10,100,1,118.14285714285714
0__skewness,141,1,165.14285714285714
5__skewness,109,1,148.85714285714286
0__flux_dif3,139,1,144.28571428571428
hostgal_photoz,1967,2,1928.5714285714287
mjd_diff_det,1527,2,1460.857142857143
distmod,1544,2,1304.142857142857
hostgal_photoz_certain,1360,2,1289.0
hostgal_photoz_err,1147,2,829.0
mjd__mean_abs_change,811,2,709.1428571428571
flux__longest_strike_above_mean,764,2,667.5714285714286
flux__sample_entropy,627,2,501.2857142857143
flux_by_flux_ratio_sq__longest_strike_above_mean,488,2,483.85714285714283
flux_by_flux_ratio_sq__median,479,2,405.57142857142856
flux_by_flux_ratio_sq__minimum,483,2,420.42857142857144
flux_by_flux_ratio_sq_skew,490,2,396.14285714285717
flux__cid_ce__normalize_True,489,2,428.7142857142857
mjd__mean_change,446,2,382.85714285714283
flux_by_flux_ratio_sq__longest_strike_below_mean,387,2,370.0
flux_diff2,324,2,333.7142857142857
flux_by_flux_ratio_sq__sample_entropy,358,2,350.42857142857144
bottom__flux_dif3,293,2,272.7142857142857
flux_err_min,494,2,397.85714285714283
0__abs_energy_norm,409,2,368.14285714285717
5__abs_energy_norm,329,2,299.42857142857144
2__skewness,308,2,260.0
2__median,349,2,283.7142857142857
bottom__flux_diff,313,2,292.85714285714283
"0__fft_coefficient__coeff_0__attr_""abs""_norm",395,2,310.2857142857143
flux_diff_2_by_1,353,2,302.2857142857143
1__skewness,317,2,274.57142857142856
flux_skew,399,2,304.57142857142856
flux__binned_entropy__max_bins_10,302,2,283.42857142857144
flux_by_flux_ratio_sq__count_above_mean,257,2,247.28571428571428
top__flux_dif3,325,2,289.0
4__cid_ce__normalize_True,389,2,293.57142857142856
flux__autocorrelation__lag_3,325,2,292.42857142857144
flux_diff__sample_entropy,371,2,293.7142857142857
abs_energy_5_by_0,319,2,247.28571428571428
abs_energy_4_by_0,290,2,312.7142857142857
flux_by_flux_ratio_sq__cid_ce__normalize_True,340,2,295.85714285714283
2__cid_ce__normalize_True,340,2,307.85714285714283
1__abs_energy_norm,326,2,280.2857142857143
0__cid_ce__normalize_True,337,2,266.42857142857144
1__cid_ce__normalize_True,450,2,305.0
2__minimum,286,2,281.42857142857144
flux_diff__longest_strike_above_mean,357,2,269.0
0__flux_by_flux_ratio_sq_sum,306,2,286.14285714285717
flux__ratio_beyond_r_sigma__r_2,288,2,233.28571428571428
flux_by_flux_ratio_sq__binned_entropy__max_bins_10,285,2,236.14285714285714
abs_energy_3_by_1,282,2,283.85714285714283
detected_mean,334,2,280.42857142857144
4__kurtosis,218,2,236.28571428571428
flux_diff_5_by_3,212,2,196.28571428571428
1__minimum,299,2,267.0
flux_norm_fft_5_by_0,276,2,222.57142857142858
1__flux_by_flux_ratio_sq_skew,309,2,263.85714285714283
abs_energy_2_by_1,292,2,243.0
5__median,221,2,235.0
flux__time_reversal_asymmetry_statistic__lag_4,370,2,279.2857142857143
1__median,334,2,266.42857142857144
5__kurtosis,251,2,200.57142857142858
1__kurtosis,226,2,193.85714285714286
"5__fft_coefficient__coeff_1__attr_""abs""_norm",201,2,199.85714285714286
3__skewness,263,2,213.14285714285714
2__skewness_diff,315,2,227.28571428571428
flux_diff_3_by_1,210,2,184.85714285714286
flux_diff_3_by_2,193,2,181.28571428571428
3__cid_ce__normalize_True,388,2,240.28571428571428
flux_diff__binned_entropy__max_bins_10,238,2,217.28571428571428
flux_median,300,2,253.85714285714286
abs_energy_5_by_2,200,2,195.42857142857142
flux_norm_fft_5_by_2,294,2,235.28571428571428
5__abs_energy,369,2,323.57142857142856
flux_diff_5_by_2,221,2,207.0
flux_by_flux_ratio_sq__first_location_of_minimum,336,2,231.28571428571428
3__kurtosis,270,2,224.14285714285714
flux_by_flux_ratio_sq__autocorrelation__lag_3,235,2,219.14285714285714
"2__fft_coefficient__coeff_0__attr_""abs""_diff",289,2,219.85714285714286
5__cid_ce__normalize_True,305,2,252.85714285714286
2__kurtosis,280,2,200.57142857142858
abs_energy_5_by_3,289,2,192.57142857142858
"5__fft_coefficient__coeff_0__attr_""abs""_norm",224,2,212.42857142857142
2__flux_dif3,396,2,278.42857142857144
5__binned_entropy__max_bins_10,270,2,223.85714285714286
flux_by_flux_ratio_sq__count_below_mean,296,2,266.14285714285717
0__mean,230,2,209.85714285714286
flux_norm_fft_4_by_2,301,2,215.71428571428572
bottom__abs_energy_norm,188,2,177.57142857142858
4__skewness_diff,339,2,246.42857142857142
flux_diff_skew,317,2,240.85714285714286
flux_diff__longest_strike_below_mean,286,2,250.28571428571428
4__median,209,2,196.57142857142858
4__skewness,198,2,206.0
"5__fft_coefficient__coeff_0__attr_""abs""",279,2,247.42857142857142
flux_diff_4_by_3,231,2,174.14285714285714
"0__fft_coefficient__coeff_1__attr_""abs""_norm",226,2,182.57142857142858
0__time_reversal_asymmetry_statistic__lag_4_diff,320,2,190.28571428571428
flux__mean_second_derivative_central,223,2,195.71428571428572
2__binned_entropy__max_bins_10,286,2,187.14285714285714
flux_diff_3_by_0,271,2,225.14285714285714
1__flux_dif3,317,2,199.42857142857142
5__sample_entropy_norm,230,2,236.28571428571428
flux_norm_fft_2_by_0,163,2,173.85714285714286
"1__fft_coefficient__coeff_0__attr_""abs""_diff",261,2,195.14285714285714
4__median_diff,256,2,160.57142857142858
4__flux_by_flux_ratio_sq_skew,209,2,153.71428571428572
1__sample_entropy_norm,295,2,227.42857142857142
4__autocorrelation__lag_3,232,2,177.57142857142858
flux__absolute_sum_of_changes,331,2,263.57142857142856
"4__fft_coefficient__coeff_1__attr_""abs""_norm",222,2,185.42857142857142
3__median,269,2,191.85714285714286
2__mean_second_derivative_central,269,2,200.42857142857142
flux_norm_fft_4_by_0,135,2,135.57142857142858
flux_diff_4_by_2,232,2,185.28571428571428
abs_energy_5_by_4,231,2,152.0
"0__fft_coefficient__coeff_1__attr_""abs""_diff",232,2,225.71428571428572
flux_diff_1_by_0,267,2,207.85714285714286
abs_energy_3_by_2,218,2,164.42857142857142
flux_diff_5_by_1,123,2,138.14285714285714
flux_norm_fft_3_by_0,214,2,161.0
3__skewness_diff,250,2,169.28571428571428
0__maximum,235,2,214.57142857142858
abs_energy_5_by_1,110,2,117.0
flux_ratio_sq_skew,174,2,162.28571428571428
object_id_div_27,176,2,159.71428571428572
4__time_reversal_asymmetry_statistic__lag_4,200,2,199.42857142857142
5__autocorrelation__lag_3,208,2,149.0
flux__mean_abs_change,265,2,237.42857142857142
1__maximum_diff,414,2,357.7142857142857
flux__count_above_mean,215,2,160.14285714285714
"4__fft_coefficient__coeff_0__attr_""abs""_norm",264,2,203.14285714285714
flux_diff__last_location_of_minimum,191,2,148.28571428571428
3__autocorrelation__lag_3,250,2,172.71428571428572
flux_diff_5_by_4,176,2,144.0
object_id_div_22,171,2,142.28571428571428
flux_norm_fft_3_by_1,181,2,171.85714285714286
flux__longest_strike_below_mean,196,2,155.14285714285714
flux_norm_fft_4_by_3,241,2,163.85714285714286
flux_diff_4_by_1,157,2,134.57142857142858
5__flux_by_flux_ratio_sq_skew,239,2,176.28571428571428
0__skewness_diff,212,2,145.28571428571428
flux_diff__last_location_of_maximum,166,2,154.71428571428572
abs_energy_4_by_1,174,2,146.85714285714286
abs_energy_3_by_0,214,2,168.28571428571428
"5__fft_coefficient__coeff_1__attr_""abs""",240,2,231.85714285714286
"3__fft_coefficient__coeff_0__attr_""abs""_diff",252,2,218.0
"5__fft_coefficient__coeff_0__attr_""abs""_diff",329,2,198.71428571428572
flux_norm_fft_2_by_1,227,2,172.0
"5__fft_coefficient__coeff_1__attr_""abs""_diff",298,2,234.28571428571428
2__maximum,260,2,225.71428571428572
0__median,267,2,175.85714285714286
1__binned_entropy__max_bins_10_diff,206,2,170.85714285714286
2__median_diff,172,2,135.42857142857142
2__sample_entropy_norm,177,2,154.14285714285714
flux_diff__first_location_of_maximum,177,2,136.28571428571428
flux_norm_fft_5_by_1,227,2,160.0
0__mean_second_derivative_central,230,2,160.0
flux_diff__first_location_of_minimum,172,2,118.71428571428571
3__binned_entropy__max_bins_10,108,2,118.14285714285714
0__skewness,207,2,165.14285714285714
5__skewness,199,2,148.85714285714286
0__flux_dif3,190,2,144.28571428571428
hostgal_photoz,1719,3,1928.5714285714287
mjd_diff_det,1461,3,1460.857142857143
distmod,1213,3,1304.142857142857
hostgal_photoz_certain,1199,3,1289.0
hostgal_photoz_err,1052,3,829.0
mjd__mean_abs_change,634,3,709.1428571428571
flux__longest_strike_above_mean,608,3,667.5714285714286
flux__sample_entropy,518,3,501.2857142857143
flux_by_flux_ratio_sq__longest_strike_above_mean,481,3,483.85714285714283
flux_by_flux_ratio_sq__median,360,3,405.57142857142856
flux_by_flux_ratio_sq__minimum,375,3,420.42857142857144
flux_by_flux_ratio_sq_skew,343,3,396.14285714285717
flux__cid_ce__normalize_True,419,3,428.7142857142857
mjd__mean_change,332,3,382.85714285714283
flux_by_flux_ratio_sq__longest_strike_below_mean,294,3,370.0
flux_diff2,312,3,333.7142857142857
flux_by_flux_ratio_sq__sample_entropy,371,3,350.42857142857144
bottom__flux_dif3,218,3,272.7142857142857
flux_err_min,317,3,397.85714285714283
0__abs_energy_norm,405,3,368.14285714285717
5__abs_energy_norm,255,3,299.42857142857144
2__skewness,234,3,260.0
2__median,237,3,283.7142857142857
bottom__flux_diff,334,3,292.85714285714283
"0__fft_coefficient__coeff_0__attr_""abs""_norm",288,3,310.2857142857143
flux_diff_2_by_1,193,3,302.2857142857143
1__skewness,223,3,274.57142857142856
flux_skew,275,3,304.57142857142856
flux__binned_entropy__max_bins_10,249,3,283.42857142857144
flux_by_flux_ratio_sq__count_above_mean,231,3,247.28571428571428
top__flux_dif3,248,3,289.0
4__cid_ce__normalize_True,249,3,293.57142857142856
flux__autocorrelation__lag_3,241,3,292.42857142857144
flux_diff__sample_entropy,263,3,293.7142857142857
abs_energy_5_by_0,241,3,247.28571428571428
abs_energy_4_by_0,303,3,312.7142857142857
flux_by_flux_ratio_sq__cid_ce__normalize_True,274,3,295.85714285714283
2__cid_ce__normalize_True,265,3,307.85714285714283
1__abs_energy_norm,297,3,280.2857142857143
0__cid_ce__normalize_True,253,3,266.42857142857144
1__cid_ce__normalize_True,343,3,305.0
2__minimum,222,3,281.42857142857144
flux_diff__longest_strike_above_mean,234,3,269.0
0__flux_by_flux_ratio_sq_sum,236,3,286.14285714285717
flux__ratio_beyond_r_sigma__r_2,179,3,233.28571428571428
flux_by_flux_ratio_sq__binned_entropy__max_bins_10,263,3,236.14285714285714
abs_energy_3_by_1,239,3,283.85714285714283
detected_mean,305,3,280.42857142857144
4__kurtosis,248,3,236.28571428571428
flux_diff_5_by_3,210,3,196.28571428571428
1__minimum,261,3,267.0
flux_norm_fft_5_by_0,170,3,222.57142857142858
1__flux_by_flux_ratio_sq_skew,236,3,263.85714285714283
abs_energy_2_by_1,201,3,243.0
